"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","45-60",9/7/14 6:55 PM,9/7/14 6:57 PM,"Single, but cohabiting with a significant other","6-10 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Business and Financial Operations Occupations",,"Female",,"Graduate degree","East North Central"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","> 60",9/7/14 6:54 PM,9/7/14 6:58 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Computer and Mathematical Occupations",,"Male",,"Graduate degree","Mountain"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","30-44",9/7/14 6:55 PM,9/7/14 6:58 PM,"In a domestic partnership or civil union","More than 20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","TEXTILES","Female","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:55 PM,9/7/14 6:56 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Healthcare Support Occupations",,"Female",,"Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:55 PM,9/7/14 6:56 PM,"Married","11-15 years","Never",,,,,,"Management Occupations",,"Male","$150,000+","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:55 PM,9/7/14 6:55 PM,"Married","11-15 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$150,000+","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:54 PM,9/7/14 6:55 PM,"Married","More than 20 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Somewhat agree","Somewhat agree","> 60",9/7/14 6:54 PM,9/7/14 6:57 PM,"Married","More than 20 years","A few times per week","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 16-20 years of our relationship","Sales and Related Occupations",,"Male","$100,000 - $149,999","Bachelor degree","East North Central"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","We have different temperature preferences for the room","-","-","Do not want to share the covers","-","-","-","Strongly agree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 6:54 PM,9/7/14 6:57 PM,"Married","16-20 years","Every night","Separate bedroom",,"Separate bedroom",,"Immediately/ We've always slept in separate beds","Farming, Fishing, and Forestry Occupations",,"Female","$25,000 - $49,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:54 PM,9/7/14 6:56 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","Information Technology","Male","$50,000 - $99,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:54 PM,9/7/14 6:54 PM,"Married","11-15 years","Never",,,,,,"Community and Social Service Occupations",,"Male","$100,000 - $149,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","30-44",9/7/14 6:54 PM,9/7/14 6:56 PM,"Married","16-20 years","Once a year or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 6-10 years of our relationship","Office and Administrative Support Occupations",,"Female",,"Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:53 PM,9/7/14 6:55 PM,"Married","More than 20 years","Never",,,,,,"Transportation and Materials Moving Occupations",,"Male","$100,000 - $149,999","Bachelor degree","Middle Atlantic"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","> 60",9/7/14 6:53 PM,9/7/14 6:55 PM,"Married","More than 20 years","Once a month or less","Separate bedroom",,"Separate bedroom",,"Immediately/ We've always slept in separate beds","Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:52 PM,9/7/14 6:54 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Avocational job-shop (machinist)","Male",,"Some college or Associate degree","West South Central"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Somewhat disagree","Somewhat disagree","Strongly disagree","45-60",9/7/14 6:53 PM,9/7/14 6:56 PM,"Married","16-20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Sales and Related Occupations",,"Female","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:52 PM,9/7/14 6:53 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male","$50,000 - $99,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:52 PM,9/7/14 6:53 PM,"Married","More than 20 years","Never",,,,,,"Architecture and Engineering Occupations",,"Male",,"Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:52 PM,9/7/14 6:53 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","Domestic specialist","Female","$0 - $24,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:52 PM,9/7/14 6:53 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male","$25,000 - $49,999","Bachelor degree","East North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","45-60",9/7/14 6:52 PM,9/7/14 6:54 PM,"Married","More than 20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"After 20 years of our relationship","Education, Training, and Library Occupations",,"Female","$25,000 - $49,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:52 PM,9/7/14 6:52 PM,"Married",,,,,,,,,,,,,
"-","-","-","-","We have different temperature preferences for the room","-","Not enough space","-","-","-","-","Strongly disagree","Somewhat disagree","Strongly disagree","18-29",9/7/14 6:52 PM,9/7/14 6:55 PM,"Married","1-5 years","Once a year or less","Other (please specify)","I sleep on the living room floor","My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Healthcare Practitioners and Technical Occupations",,"Female","$0 - $24,999","Bachelor degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:51 PM,9/7/14 6:52 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Manufacturing","Male","$100,000 - $149,999","Some college or Associate degree","Mountain"
"-","-","One of us is sick","-","-","-","-","-","One of us needs to sleep with a child","-","-","Somewhat agree","Neither agree nor disagree","Somewhat disagree","45-60",9/7/14 6:51 PM,9/7/14 6:53 PM,"Married","6-10 years","Once a month or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Office and Administrative Support Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:50 PM,9/7/14 6:52 PM,"In a domestic partnership or civil union","11-15 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female","$25,000 - $49,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:50 PM,9/7/14 6:51 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired","Female",,"Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Somewhat disagree","Strongly disagree","45-60",9/7/14 6:50 PM,9/7/14 6:52 PM,"Married","More than 20 years","Once a month or less","Other (please specify)","Out of town","My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:50 PM,9/7/14 6:51 PM,"In a domestic partnership or civil union","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Female",,,"Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:50 PM,9/7/14 6:51 PM,"Divorced","1-5 years","Never",,,,,,"Other (please specify)","Gas attendant.","Male","$0 - $24,999","Some college or Associate degree","Middle Atlantic"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Somewhat agree","Somewhat agree","Somewhat agree","> 60",9/7/14 6:50 PM,9/7/14 6:53 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"Within 16-20 years of our relationship","Sales and Related Occupations",,"Male","$25,000 - $49,999","Some college or Associate degree","East North Central"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat agree","Strongly disagree","> 60",9/7/14 6:50 PM,9/7/14 6:53 PM,"Married","More than 20 years","Once a month or less","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Healthcare Support Occupations",,"Female","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:50 PM,9/7/14 6:51 PM,"Married","More than 20 years","Never",,,,,,"Life, Physical, and Social Science Occupations",,"Male","$50,000 - $99,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:50 PM,9/7/14 6:51 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:50 PM,9/7/14 6:50 PM,"Married","1-5 years","Never",,,,,,"Computer and Mathematical Occupations",,"Female","$100,000 - $149,999","Bachelor degree","South Atlantic"
"-","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","45-60",9/7/14 6:50 PM,9/7/14 7:07 PM,"Married","16-20 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Separate bedroom",,"Within 11-15 years of our relationship","Healthcare Support Occupations",,"Male","$25,000 - $49,999","Some college or Associate degree","Pacific"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Strongly disagree","> 60",9/7/14 6:49 PM,9/7/14 6:52 PM,"Married","More than 20 years","Every night","Separate bedroom",,"Separate bedroom",,"After 20 years of our relationship","Other (please specify)","retired","Male","$50,000 - $99,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:49 PM,9/7/14 6:50 PM,"Single, but cohabiting with a significant other","16-20 years","Never",,,,,,"Healthcare Practitioners and Technical Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","East North Central"
"One of us snores","-","One of us is sick","-","-","We've had an argument or fight","-","-","-","-","-","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 6:48 PM,9/7/14 6:51 PM,"Married","6-10 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Installation, Maintenance, and Repair Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","New England"
"One of us snores","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","30-44",9/7/14 6:48 PM,9/7/14 6:51 PM,"Married","More than 20 years","Once a month or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","Religious Education","Female","$100,000 - $149,999","Graduate degree","East North Central"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","-",9/7/14 6:48 PM,9/7/14 6:52 PM,"Married","16-20 years","Every night","On the couch/chair",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Other (please specify)","DISBLED",,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:48 PM,9/7/14 6:49 PM,"Married","More than 20 years","Never",,,,,,"Sales and Related Occupations",,"Male","$150,000+","Graduate degree","New England"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Somewhat disagree","Somewhat disagree","Strongly disagree","> 60",9/7/14 6:48 PM,9/7/14 6:51 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Other (please specify)","Retired","Male","$50,000 - $99,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:48 PM,9/7/14 6:49 PM,"Married","16-20 years","Never",,,,,,"Other (please specify)","Translator and editor","Female",,"Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","Night working/very different sleeping times","-","Strongly disagree","Neither agree nor disagree","Strongly disagree","30-44",9/7/14 6:48 PM,9/7/14 6:51 PM,"Married","11-15 years","Every night","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Legal Occupations",,"Female","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:47 PM,9/7/14 6:49 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","A/V Consultant","Male",,"Some college or Associate degree","South Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","Night working/very different sleeping times","-","Strongly disagree","Somewhat disagree","Somewhat disagree","45-60",9/7/14 6:47 PM,9/7/14 6:51 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"Other (please specify)","One of us sleeps in our bed. One sleeps on couch in separate room depending upon which of us is unable to sleep.","Immediately/ We've always slept in separate beds","Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:47 PM,9/7/14 6:48 PM,"Married","More than 20 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Male","$100,000 - $149,999","Bachelor degree","New England"
"-","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Neither agree nor disagree","Somewhat disagree","Strongly disagree","18-29",9/7/14 6:47 PM,9/7/14 6:51 PM,"Single, but cohabiting with a significant other","1-5 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","Research","Female","$50,000 - $99,999","Bachelor degree","Middle Atlantic"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Somewhat disagree","30-44",9/7/14 6:47 PM,9/7/14 6:49 PM,"Married","6-10 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 6-10 years of our relationship","Education, Training, and Library Occupations",,"Female","$50,000 - $99,999","Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:47 PM,9/7/14 6:48 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Education, Training, and Library Occupations",,"Female",,"Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:47 PM,9/7/14 6:47 PM,"Married","More than 20 years","Never",,,,,,"Community and Social Service Occupations",,"Male",,"Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:47 PM,9/7/14 6:48 PM,"Married","6-10 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","> 60",9/7/14 6:47 PM,9/7/14 6:48 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Female","$100,000 - $149,999","Bachelor degree","Middle Atlantic"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 6:47 PM,9/7/14 6:49 PM,"Married","More than 20 years","Every night","Shared bedroom, different bed",,"Shared bedroom, different bed",,"After 20 years of our relationship","Other (please specify)","RETIRED","Male","$50,000 - $99,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:46 PM,9/7/14 6:47 PM,"Married","More than 20 years","Never",,,,,,"Protective Service Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","We are no longer physically intimate","We have different temperature preferences for the room","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","45-60",9/7/14 6:46 PM,9/7/14 6:48 PM,"Married","More than 20 years","A few times per month","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:46 PM,9/7/14 6:47 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male","$50,000 - $99,999","Some college or Associate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:45 PM,9/7/14 6:46 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","RETIRED","Male","$100,000 - $149,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:46 PM,9/7/14 6:46 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Graduate degree","Mountain"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Somewhat disagree","Somewhat disagree","Somewhat disagree","18-29",9/7/14 6:46 PM,9/7/14 6:48 PM,"Married","1-5 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Architecture and Engineering Occupations",,"Female","$25,000 - $49,999","Bachelor degree","East North Central"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Somewhat disagree","> 60",9/7/14 6:45 PM,9/7/14 6:47 PM,"Married","More than 20 years","A few times per month","Separate bedroom",,"Separate bedroom",,"Within 6-10 years of our relationship","Other (please specify)","retired","Male","$100,000 - $149,999","Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:45 PM,9/7/14 6:46 PM,"Married","More than 20 years","Never",,,,,,"Construction and Extraction Occupations",,"Male","$50,000 - $99,999","Bachelor degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:45 PM,9/7/14 6:46 PM,"Married","More than 20 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female",,"Bachelor degree","New England"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly disagree","Neither agree nor disagree","Somewhat disagree","45-60",9/7/14 6:45 PM,9/7/14 6:47 PM,"Married","More than 20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Management Occupations",,"Male",,"Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Strongly agree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 6:45 PM,9/7/14 6:47 PM,"Married","16-20 years","A few times per week","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 16-20 years of our relationship","Healthcare Practitioners and Technical Occupations",,"Female","$150,000+","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:44 PM,9/7/14 6:46 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Other (please specify)","Unemployed","Female","$25,000 - $49,999","High school degree","Mountain"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:45 PM,9/7/14 6:45 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired",,,,
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 6:44 PM,9/7/14 6:50 PM,"Married","6-10 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Office and Administrative Support Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:40 PM,9/7/14 6:47 PM,"Married","11-15 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$50,000 - $99,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:44 PM,9/7/14 6:45 PM,"Married","More than 20 years","Never",,,,,,"Architecture and Engineering Occupations",,"Male","$100,000 - $149,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Strongly disagree","Strongly disagree","30-44",9/7/14 6:44 PM,9/7/14 6:45 PM,"Married","11-15 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Sales and Related Occupations",,"Female","$100,000 - $149,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","We have different temperature preferences for the room","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","18-29",9/7/14 6:43 PM,9/7/14 6:50 PM,"Married","1-5 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Business and Financial Operations Occupations",,"Female",,"Bachelor degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:43 PM,9/7/14 6:44 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","retired","Male",,"Graduate degree","South Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Somewhat disagree","Neither agree nor disagree","Strongly disagree","> 60",9/7/14 6:43 PM,9/7/14 6:48 PM,"Married","16-20 years","Every night","Separate bedroom",,"Other (please specify)","I AM SLEEPING IN A HOSPITAL BED","Within the first 1-5 years of our relationship","Other (please specify)","DISABLED","Female","$25,000 - $49,999","Some college or Associate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:43 PM,9/7/14 6:44 PM,"Married","11-15 years","Never",,,,,,"Other (please specify)","Retired","Male","$50,000 - $99,999","Some college or Associate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:42 PM,9/7/14 6:43 PM,"Married","More than 20 years","Never",,,,,,"Business and Financial Operations Occupations",,"Male","$100,000 - $149,999","Graduate degree","Pacific"
"One of us snores","-","-","-","-","We've had an argument or fight","-","-","-","-","-","Neither agree nor disagree","Somewhat disagree","Strongly disagree","30-44",9/7/14 6:42 PM,9/7/14 6:44 PM,"Single, but cohabiting with a significant other","6-10 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Computer and Mathematical Occupations",,"Male","$150,000+","Graduate degree","Middle Atlantic"
"-","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Strongly disagree","> 60",9/7/14 6:42 PM,9/7/14 6:44 PM,"Married","More than 20 years","A few times per month","Separate bedroom",,"Separate bedroom",,"Within 6-10 years of our relationship","Healthcare Support Occupations",,"Male","$100,000 - $149,999","Graduate degree","New England"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","45-60",9/7/14 6:42 PM,9/7/14 6:44 PM,"Single, but cohabiting with a significant other","1-5 years","Once a month or less","On the couch/chair",,"On the couch/chair",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Female","$150,000+","Graduate degree","Middle Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","45-60",9/7/14 6:42 PM,9/7/14 6:44 PM,"Married","More than 20 years","Every night","Separate bedroom",,"On the couch/chair",,"Within 6-10 years of our relationship","Healthcare Practitioners and Technical Occupations",,"Male","$150,000+","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:42 PM,9/7/14 6:43 PM,"Married","16-20 years","Never",,,,,,"Computer and Mathematical Occupations",,"Male","$100,000 - $149,999","Graduate degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:42 PM,9/7/14 6:43 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired","Male",,"Graduate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:42 PM,9/7/14 6:42 PM,"Married","6-10 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$150,000+","Graduate degree","Pacific"
"One of us snores","-","-","We are no longer physically intimate","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","> 60",9/7/14 6:42 PM,9/7/14 6:45 PM,"Married","More than 20 years","Every night","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Community and Social Service Occupations",,"Female","$50,000 - $99,999","Bachelor degree","East North Central"
